,mean_mean,mean_std,mean_skewness,mean_kurtosis,std_mean,std_std,std_skewness,std_kurtosis,Class
1_84_bk_pic.pckl,0.9189541504194173,7.929244003892912,-0.08191491889451295,-0.4695026425005005,6.439421087584725,4.170113271841527,0.7168662862772158,1.5583130368688702,0.0
1_182_bk_pic.pckl,-5.9260930912460825,9.886095503728981,-0.14256103165506873,-1.1328003421508095,8.937870314996621,2.174149270729804,0.4778454234417658,0.538709739201635,0.0
1_914_bk_pic.pckl,8.514091768954437,6.35534564234543,-0.11432676607155767,-0.82839915377787,18.17762476385861,2.7733784061251656,0.5918906109388008,1.5599118083159755,1.0
1_428_bk_pic.pckl,2.1388997813922765,11.686637632930397,-0.24865976850801436,-0.9814194670316946,9.076639832943185,4.3079543716816335,0.4032541001196796,0.7875290080329206,0.0
1_1122_bk_pic.pckl,8.148121937818045,12.495392228392767,-0.3511631471607793,-0.8474385873914332,27.94685140246196,5.323201700035913,0.46071479148189853,1.1052885956682237,1.0
1_252_bk_pic.pckl,18.202241658849033,15.073689456916341,0.28738594827424485,-1.1968337428898552,1.8718984371822298,0.5850229378531377,0.1630107300250559,0.2579521846011037,0.0
1_417_bk_pic.pckl,-0.33852830333496414,6.502295665325758,-0.045571890206822334,-0.7629892814254106,11.952812432624473,2.2799159395724513,0.5831789775603641,0.8144361644671861,0.0
1_426_bk_pic.pckl,-1.2949026240152892,11.668711556185055,-0.04235551868026343,-0.8985931970245132,16.87630494465705,3.507693143627712,0.5397934657288371,0.6578798782377744,0.0
1_72_bk_pic.pckl,7.3388266592967035,6.864417160429779,-0.45295376127371634,-0.7282317283449253,0.9976833256653443,1.1516147762711562,0.13777718054902655,0.4052002254641307,0.0
1_128_bk_pic.pckl,5.473265331453344,9.060195904861423,-0.2534906089980002,-0.5437160741316018,34.97476984427845,5.546299445793871,0.6126966904339252,0.5218539426309555,0.0
1_28_bk_pic.pckl,-23.721021694382575,8.020297499380508,-0.4586734899939652,-1.0905874915664717,5.116971935832119,2.815276370338192,0.11833690045656875,0.21191006148807323,0.0
1_1336_bk_pic.pckl,3.321778189449847,12.66980870074053,-0.1079137410317201,-1.3075109250760288,12.173703701194844,4.004500701237314,0.2171066665567925,0.21235962291328175,1.0
1_899_bk_pic.pckl,-2.234927137041145,4.171758487252857,0.11013526931337218,-0.9673479621768932,13.951058029035778,1.7386319344405494,0.5068797190858072,1.2477977673543557,1.0
1_70_bk_pic.pckl,-30.757227025101585,15.126547792828394,-0.13541457047026006,-1.0109514848709515,1.8798064424989689,4.794524868384172,0.3406474161174381,0.5938687666919517,0.0
1_26_bk_pic.pckl,2.564180850344239,11.647562314414587,-0.1918449496805804,-0.8375010166822802,7.962933257727371,3.125217132223011,0.5491696457271882,0.9445692166779092,0.0
1_260_bk_pic.pckl,3.953380755664309,4.645321815371743,0.4702187938331066,-0.8948545080409142,4.216593369770569,2.2193320134986703,0.16841555930775068,0.14667880671867406,0.0
1_924_bk_pic.pckl,15.174114221957772,11.58642440019367,-0.449079429247426,-0.9222890964566591,37.819779018283505,3.677526779619694,0.17017672730443623,0.186403648785496,1.0
1_184_bk_pic.pckl,-80.1622118231812,14.771247138667297,0.8212184241867939,1.5395010333088395,14.228492340790389,0.8884411031996571,1.3642967282906815,2.4100476022104775,0.0
1_903_bk_pic.pckl,0.49682394201772556,10.618912473176417,-0.14401948026062408,-1.0987300226358243,15.525203835730693,3.3076324950184177,0.3960657625319513,0.965473884930061,1.0
1_1340_bk_pic.pckl,-1.772909393114891,17.451993377484662,-0.001018296178551332,-1.3606268479252777,22.121631787029454,3.2406121216972283,0.2782485630007065,0.39794007387473496,1.0
1_442_bk_pic.pckl,-1.3608210954914706,11.096412780066366,-0.034303090868087895,-1.0220700803250842,8.206247428098806,4.529538527124797,0.49463883165315126,0.36933723875262287,0.0
1_440_bk_pic.pckl,0.06188617989752853,10.976066015224342,0.09944962296429015,-1.116272014954654,12.384591943937759,4.757233812458734,0.35538982090409343,0.41178321008993296,0.0
1_444_bk_pic.pckl,-3.1050693501849413,15.227058687650386,0.05115143155128719,-1.017487850306297,16.222463523941606,6.747637931101886,0.5084807872719566,0.7402580110749367,0.0
1_273_bk_pic.pckl,-0.33463662908189357,14.962035305371101,-0.09037606496005549,-1.0721266118861628,12.319834479776935,6.627201893292178,0.4671852315340999,0.6084969585652119,0.0
1_421_bk_pic.pckl,2.1404814511420556,17.821176714078845,-0.08876612349408439,-1.2107989498551797,14.750409214993518,5.393160247375872,0.385120350178282,0.4702850629852928,0.0
1_434_bk_pic.pckl,-0.6266967827749658,11.593755261587543,-0.035741928683252704,-0.8248167121306677,16.412765970538654,6.43124810169533,0.6037539275940376,0.857636968894252,0.0
1_1328_bk_pic.pckl,4.445786249024696,11.548381867446723,-0.05588285934710139,-1.2729025806572427,15.241278289782203,2.798645413822996,0.34995012930746267,0.5352581241252977,1.0
1_24_bk_pic.pckl,-6.051244142676921,11.570721229043698,-0.10629852737250076,-0.953406366846813,15.61426969642194,4.512527229006069,0.22753815628235177,1.180981185977999,0.0
1_430_bk_pic.pckl,-2.945659191765252,10.722986838864097,0.10250275403191549,-0.9261108102593524,11.571491130594575,4.107804905185968,0.6351430272400668,1.3331017533848641,0.0
1_974_bk_pic.pckl,-11.456830713920246,4.8135880045906605,0.6301645685371727,0.18765241017480278,11.228713535850813,1.523942749738153,0.7581285353358364,2.2625859368412047,1.0
1_250_bk_pic.pckl,-2.4392522929419247,9.469123400432114,0.046578656786128464,-0.8559301475372181,29.022483177166755,5.115491434873942,0.49997646605348145,0.47607179356461937,0.0
1_1134_bk_pic.pckl,35.243656846381406,24.27210925993936,0.01824370962367483,-1.3771253192230841,10.90012739493811,0.36135662602101704,0.33878957528066767,0.030717528210278733,1.0
1_1_bk_pic.pckl,1.2890072387003928,6.761996884995509,-0.06633774944081962,-0.8930689542034059,10.899210684219701,3.0315488176469914,0.44575334322113913,0.49906057293585826,0.0
1_274_bk_pic.pckl,2.3034525200892038,15.596848169992517,-0.15362936691759566,-0.9303528510648715,31.162259594633476,3.5760371630934396,0.5151834384400217,0.7458012930571201,0.0
1_68_bk_pic.pckl,0.45416965370442697,13.645018318024453,-0.18087685660555103,-1.0786399265883908,10.536674790271945,7.856756121565841,0.37367440259360013,0.4510078443761012,0.0
1_1167_bk_pic.pckl,-0.04232673307691541,4.134424608484164,-0.053618944910171135,-0.7038286738994993,7.745218400050449,3.2071932651328336,0.6046711370723766,1.0413020678741511,1.0
1_1078_bk_pic.pckl,-8.67125943412794,12.164633833886588,0.055023649425855185,-0.7034836827917135,39.50948914181878,4.750697767749169,0.5678542601245729,1.2362663032741692,1.0
1_124_bk_pic.pckl,1.6781186483494543,5.125468602102455,-0.06352413709332644,-1.1569693327223738,1.1977002301425643,0.4261710121095361,0.18334964524033515,0.06691525141401522,0.0
1_1008_bk_pic.pckl,-0.9856106509392042,16.667088158864978,0.10830525407280321,-1.2608697956736807,14.871299661230951,2.7895825573096866,0.370727007761051,0.3366583044231252,1.0
1_78_bk_pic.pckl,-26.744989639878305,10.983292462260653,0.41230554911493095,-0.5340332879097346,5.548281168072755,2.6923376903590213,0.6146051945302371,2.061685683954183,0.0
1_1346_bk_pic.pckl,-1.1903358053986262,16.15369997677037,-0.1549107665722819,-1.2227872904896882,20.812861410839577,3.5998312824926937,0.3790074032446598,0.9038506385758863,1.0
1_176_bk_pic.pckl,-12.787210414196984,12.136959023700756,-0.02807029691746335,-0.8472552373045099,4.49806985694127,4.196003820795449,0.48115545610216204,0.06416089615173748,0.0
1_80_bk_pic.pckl,-71.03266449007836,10.77096834344481,1.0753657404070815,1.7425132305490378,3.0447521911505717,0.5607692271957658,0.9353775182811513,2.232665694901279,0.0
1_1324_bk_pic.pckl,0.31322327915618015,12.718326481312689,-0.11627350275942569,-1.0409799417641534,19.321853357395874,4.212408993199411,0.48540850862369,0.905448910442729,1.0
1_132_bk_pic.pckl,41.23553441005346,11.80384239521051,-0.008163954902771303,-1.220559160193519,7.148056931710254,2.642155799738708,0.29608208118752344,0.10375758283136094,0.0
1_1080_bk_pic.pckl,12.522998582033118,13.298358331243751,-0.408572978047585,-1.3047971445970914,16.587498984283474,3.2199194066064183,0.23018446393678044,0.23183253118144262,1.0
1_436_bk_pic.pckl,-3.1695764394226056,15.692850124874807,-0.09013076765232271,-1.079911402757682,11.995121572903077,5.750789974635804,0.4394954654145266,0.387981225049405,0.0
1_1332_bk_pic.pckl,-1.6723473341300428,12.040568823950158,-0.1484802432902668,-1.1439822955594887,16.077974687902493,3.834141889341273,0.4148567883988696,0.630740369810089,1.0
1_122_bk_pic.pckl,12.444320261730667,14.52904512483504,0.12567237491192623,-1.2445172210910713,5.984209560566294,2.6702516206383153,0.36423983043381947,0.13651811648639167,0.0
1_432_bk_pic.pckl,-0.9479831269963044,13.400393783218444,-0.03128633996311566,-1.0325135488206276,19.08952793720647,4.779293832360275,0.5464346231812971,0.6520019359411896,0.0
1_438_bk_pic.pckl,-3.5786912683601884,12.364489992143467,-0.05832390129351281,-1.1867911010922954,18.22998423401016,4.64378371011883,0.3580142229755026,0.40532805841245295,0.0
