,mean_mean,mean_std,mean_skewness,mean_kurtosis,std_mean,std_std,std_skewness,std_kurtosis,Class
1_184_bk_pic.pckl,-130.72089480684505,20.03024821979185,1.0560551400449272,1.8142814509277665,16.67848775118653,1.2986548657721837,1.2478777948236233,3.076822662869156,0.0
1_430_bk_pic.pckl,-5.821108876765752,13.20955845315894,-0.13225765270587062,-1.0571359788226518,24.268041489925775,5.4093885494944,0.45013624613181674,0.5164912329111919,0.0
1_5_bk_pic.pckl,-4.223474326807277,20.603246921923628,0.00504183347005738,-1.001081371821238,23.118843962452566,7.516998319016126,0.5510516063397303,1.0214650383016153,0.0
1_128_bk_pic.pckl,6.767953007396036,15.476698223760959,-0.3257839033035947,-0.9838285148421798,40.58953412123907,6.785056030454771,0.49200796048973444,0.6797630128846774,0.0
1_1008_bk_pic.pckl,-0.5489776607470045,15.652287629963404,-0.01618647796981422,-1.284020419896363,14.72436855461132,1.3301943833313459,0.23489150679658372,0.23170639570866514,1.0
1_956_bk_pic.pckl,0.2447548576599603,16.350200254823214,-0.2968536948456986,-1.3755992749474082,17.133204570288353,1.3591235702374307,0.14309991596399632,0.15572447395326783,1.0
1_970_bk_pic.pckl,59.689373461024275,6.817305591893801,-2.488120195555931,8.45896411473235,2.771815902977462,0.44964248979976906,0.7645310481663585,3.255865792355184,1.0
1_84_bk_pic.pckl,13.904037032776026,10.103830303296148,-0.30089680902719196,-0.30351986830041827,15.45556942028473,4.064299307103172,0.8358031048626288,3.1600312245090354,0.0
1_68_bk_pic.pckl,-14.815965255894197,14.219035550566943,-0.02731533172692952,-0.8355852767023636,16.711710371674165,5.6217905128555135,0.5332604562997967,1.2308607556482596,0.0
1_1158_bk_pic.pckl,-16.16669487838277,14.793779241681657,-0.19298125414105866,-1.1200763555721525,6.9150481832977135,3.2891404043749137,0.25808248686367496,0.3304280704181817,1.0
1_1130_bk_pic.pckl,6.9948404399146895,10.956777012660803,0.29751619233990606,-0.908171035853644,39.98620911757134,3.240122826212084,0.36353736041662393,0.5416625351362496,1.0
1_80_bk_pic.pckl,-116.40610131150123,15.439452976486487,1.1134231252580922,1.667077832238507,2.7122644759595644,1.6897177331264412,0.9134064092575043,2.4939199274542303,0.0
1_1332_bk_pic.pckl,-1.7063937795694095,9.825919171536452,-0.16030282212573144,-1.1127591429296968,15.591630487555534,2.3342337039989878,0.4194937122968375,0.7283824411999127,1.0
1_26_bk_pic.pckl,6.254185930134618,19.09150768079212,-0.3811514721910427,-0.2125133637685216,54.71517516021348,2.980503291893441,0.7004001578270723,1.1791726964939824,0.0
1_1338_bk_pic.pckl,1.4264496358294878,12.2702789361552,-0.14854022084565144,-1.3284164706598578,18.962357808418417,3.7939254215995555,0.2566949768010311,0.32313770649135487,1.0
1_78_bk_pic.pckl,-73.92595022650386,12.510501444994786,0.4495683596141524,0.5112927798613518,16.677169544030296,5.092024245983654,1.1195540066584704,4.175458705843584,0.0
1_1082_bk_pic.pckl,-8.942992447291926,21.886320478655943,-0.24126101978027487,-1.298561095535549,16.277981003031655,8.507205221941533,0.013908454246801108,0.1519267109631467,1.0
1_432_bk_pic.pckl,-2.9923072651238223,16.637195101265974,0.006874327890722839,-0.8244212298496765,33.429095192786505,6.691962272777263,0.676575493788225,1.883177307792337,0.0
1_1346_bk_pic.pckl,-3.496899770982557,17.71486982554722,-0.10869825882435806,-1.2572305769373562,24.85202360328186,12.044077084085535,0.3509375738771602,0.8561015261838486,1.0
1_1006_bk_pic.pckl,-6.13538286426952,9.70215326930938,0.042542965482383455,-0.868176905780914,18.466831904547522,2.733502949510091,0.5579217099524253,0.6308498318781335,1.0
1_1154_bk_pic.pckl,-10.592947496416635,10.541237461504563,0.14333022383936933,-0.7334148366712568,18.15341432664133,5.6758518917308,0.6057699134439918,2.047433989481161,1.0
1_172_bk_pic.pckl,-19.441883915805576,13.991252591980585,0.15640195385724345,-0.28682888716033594,32.48334124728014,6.169409351445225,0.7849032126614282,2.678975838181352,0.0
1_438_bk_pic.pckl,-6.675837030889457,16.4076875010714,0.12776388021342178,-1.0955999822039426,27.924689579910684,8.161347483390909,0.4072666355695858,0.4768474847197498,0.0
1_922_bk_pic.pckl,6.968984795394243,5.901837928660776,0.20710752018194012,-0.9775950581782877,12.769712511882599,1.057245158959005,0.4955295146809704,0.6313428299114168,1.0
1_976_bk_pic.pckl,-18.21966025397887,9.405347541116209,0.14301287373832308,0.3259342734997571,28.449485048163336,1.6141179500812208,1.0095834579276988,2.7941922080191364,1.0
1_228_bk_pic.pckl,137.38496646041335,21.29644443972529,-1.7827527209730563,4.815969505783128,10.01101329989688,1.016709975718662,0.5146904037742481,2.033454433400493,0.0
1_1319_bk_pic.pckl,-0.6185317683832937,13.979098855683688,-0.164561464130009,-1.2374907356219311,18.013423471079143,4.3624208565768345,0.361671005806431,0.5322145032259014,1.0
1_444_bk_pic.pckl,-5.34265158963033,15.984966774965304,-0.046100305023804584,-1.1445807395989542,28.28377600881876,6.1821202341653,0.37925538570448164,0.45459438788917833,0.0
1_180_bk_pic.pckl,-13.191192902395516,13.276227942533732,0.10192753557436575,-0.5238614475363885,49.50588473728313,3.733187378706358,0.6530724025296415,1.6992190142671137,0.0
1_232_bk_pic.pckl,15.747740473324834,9.145214203715717,0.20045173364654234,0.9547185910253992,60.897769853586325,5.119154592786068,1.1795382196829394,3.3897518467938292,0.0
1_903_bk_pic.pckl,0.8654942266204491,12.316898794142126,-0.172239393253567,-1.0806644580826783,15.147552852020604,4.114064711093932,0.41706174571173343,1.011064710420114,1.0
1_1030_bk_pic.pckl,-56.84543017729706,10.353412523995303,1.027831098428015,0.2456886987524718,18.885595623889518,2.9062086731933063,0.06301462512220501,0.24095132198795843,1.0
1_72_bk_pic.pckl,40.6476531707109,17.36769446497263,-0.11307911326956288,-0.9072597350918244,19.38202533331809,0.6563067615869578,0.5030808679337962,0.10284410086295315,0.0
1_182_bk_pic.pckl,-57.43112020471301,20.21206721657721,-0.044958883475380546,-1.1631058320005803,11.396061569472634,6.49925750715788,0.28176535020434473,0.24907082137155284,0.0
1_1340_bk_pic.pckl,-4.333892005539376,18.977231266771742,-0.06303187231787662,-1.3322864545757351,23.70911133012207,3.8222021325230258,0.28655826606505663,0.5611929874686119,1.0
1_924_bk_pic.pckl,11.240304924960967,9.442765250134483,-0.45298464352875445,-0.7254260367316201,31.994997085012088,2.244666720898778,0.23024247409947493,0.5032205006128384,1.0
1_70_bk_pic.pckl,-82.58252808109754,16.610511723138046,0.3402250201004261,0.07058732570213566,19.04179942249374,4.046653939401078,1.038451024100181,3.4470381817138755,0.0
1_250_bk_pic.pckl,6.945909130763599,14.162745770755988,-0.30516325282229617,-0.4043565717855344,50.31695138216818,4.289746897134692,0.7270141218089136,0.949628127359515,0.0
1_130_bk_pic.pckl,60.2051665090093,18.456839161240087,-0.07558208181742472,-1.2275427203856222,12.579049680965827,6.080475246201356,0.31596511196359256,0.3725412542032548,0.0
1_1336_bk_pic.pckl,3.5820731491137425,13.776775721060083,-0.15632731275063,-1.3027430073704662,12.800846837713266,4.864529592150074,0.2592883112827938,0.24948663410238753,1.0
1_76_bk_pic.pckl,-7.710851438206642,15.137615873459247,0.0774083961775483,-0.6542085495153399,39.13618952149102,4.721359315052427,0.6830625111656324,1.9262608303916475,0.0
1_1171_bk_pic.pckl,1.7172383189172447,14.437554261013014,-0.1335092094737872,-1.249533774926774,13.512294119500499,5.894531146221002,0.3074336047637426,0.26543773807943205,1.0
1_269_bk_pic.pckl,2.8445278177063105,7.176471138877809,-0.04864810514794863,-0.7404391288440512,17.959717765744777,3.117357974394245,0.5543651700365362,0.6672221606324252,0.0
1_978_bk_pic.pckl,65.4800568519546,8.923408982569123,-2.038457948937759,5.716374302906637,7.200097717900697,1.5414924807197679,0.21731314060398277,0.041443591971235705,1.0
